Probabilities,H_X,H_Y,H_XY,P,E,Error Detection Rate,Correction Capability,Adaptation Rate,Spatial Scale,Temporal Scale,Intelligence
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,0.5,0.5,2.571256460657535e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,0.5,1.0,1.2856282303287674e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,0.5,1.5,8.57085486885845e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.0,0.5,1.2856282303287674e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.0,1.0,6.428141151643837e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.0,1.5,4.285427434429225e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.5,0.5,8.57085486885845e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.5,1.0,4.285427434429225e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.5,1.5,2.8569516229528164e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,0.5,0.5,4.571122653487033e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,0.5,1.0,2.2855613267435165e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,0.5,1.5,1.5237075511623444e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.0,0.5,2.2855613267435165e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.0,1.0,1.1427806633717583e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.0,1.5,7.618537755811722e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.5,0.5,1.5237075511623444e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.5,1.0,7.618537755811722e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.5,1.5,5.079025170541148e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,0.5,0.5,6.570988335453792e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,0.5,1.0,3.285494167726896e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,0.5,1.5,2.190329445151264e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,1.0,0.5,3.285494167726896e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,1.0,1.0,1.642747083863448e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,1.0,1.5,1.095164722575632e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,1.5,0.5,2.190329445151264e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,1.5,1.0,1.095164722575632e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.7666666666666666,1.5,1.5,7.301098150504214e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,0.5,0.5,8.57085452828329e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,0.5,1.0,4.285427264141645e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,0.5,1.5,2.8569515094277634e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,1.0,0.5,4.285427264141645e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,1.0,1.0,2.1427136320708226e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,1.0,1.5,1.4284757547138817e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,1.5,0.5,2.8569515094277634e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,1.5,1.0,1.4284757547138817e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,1.0,1.5,1.5,9.523171698092545e+302
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,0.5,0.5,3.8568846909863026e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,0.5,1.0,1.9284423454931513e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,0.5,1.5,1.2856282303287676e+303
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,1.0,0.5,1.9284423454931513e+303
